,bbl,date,file path,st units
16071,2032870081,20210605,20210605_2032870081.pdf,SCRIE
16072,2032870100,20210605,20210605_2032870100.pdf,8
16073,2032870109,20210605,20210605_2032870109.pdf,54
16074,2032870115,20210605,20210605_2032870115.pdf,46
16075,2032880001,20210605,20210605_2032880001.pdf,SCRIE
16076,2032880010,20210605,20210605_2032880010.pdf,58
16077,2032880025,20210605,20210605_2032880025.pdf,43
16078,2032880031,20210605,20210605_2032880031.pdf,27
16079,2032880035,20210605,20210605_2032880035.pdf,55
16080,2032890032,20210605,20210605_2032890032.pdf,SCRIE
16081,2032890050,20210605,20210605_2032890050.pdf,SCRIE
16082,2032890053,20210605,20210605_2032890053.pdf,33
16083,2032900014,20210605,20210605_2032900014.pdf,49
16084,2032900023,20210605,20210605_2032900023.pdf,21
16085,2032900025,20210605,20210605_2032900025.pdf,19
16086,2032900042,20210605,20210605_2032900042.pdf,61
16087,2032900065,20210605,20210605_2032900065.pdf,29
16088,2032910008,20210605,20210605_2032910008.pdf,80
16089,2032910024,20210605,20210605_2032910024.pdf,80
16090,2032910035,20210605,20210605_2032910035.pdf,196
16091,2032920001,20210605,20210605_2032920001.pdf,78
16092,2032920006,20210605,20210605_2032920006.pdf,48
16093,2032920014,20210605,20210605_2032920014.pdf,55
16094,2032920019,20210605,20210605_2032920019.pdf,31
16095,2032920034,20210605,20210605_2032920034.pdf,32
16096,2032920037,20210605,20210605_2032920037.pdf,48
16097,2032920045,20210605,20210605_2032920045.pdf,36
16098,2032920048,20210605,20210605_2032920048.pdf,31
16099,2032920051,20210605,20210605_2032920051.pdf,SCRIE
16100,2032920062,20210605,20210605_2032920062.pdf,51
16101,2032920068,20210605,20210605_2032920068.pdf,16
16102,2032920070,20210605,20210605_2032920070.pdf,16
16103,2032920075,20210605,20210605_2032920075.pdf,33
16104,2032920079,20210605,20210605_2032920079.pdf,44
16105,2032920090,20210605,20210605_2032920090.pdf,9
16106,2032920097,20210605,20210605_2032920097.pdf,31
16107,2032930018,20210605,20210605_2032930018.pdf,29
16108,2032930026,20210605,20210605_2032930026.pdf,39
16109,2032930039,20210605,20210605_2032930039.pdf,36
16110,2032930047,20210605,20210605_2032930047.pdf,14
16111,2032930050,20210605,20210605_2032930050.pdf,15
16112,2032930054,20210605,20210605_2032930054.pdf,10
16113,2032930056,20210605,20210605_2032930056.pdf,11
16114,2032930058,20210605,20210605_2032930058.pdf,10
16115,2032930083,20210605,20210605_2032930083.pdf,36
16116,2032930106,20210605,20210605_2032930106.pdf,69
16117,2032930113,20210605,20210605_2032930113.pdf,67
16118,2032930119,20210605,20210605_2032930119.pdf,11
16119,2032930121,20210605,20210605_2032930121.pdf,11
16120,2032930123,20210605,20210605_2032930123.pdf,11
16121,2032930125,20210605,20210605_2032930125.pdf,10
16122,2032930126,20210605,20210605_2032930126.pdf,44
16123,2032930130,20210605,20210605_2032930130.pdf,55
16124,2032930135,20210605,20210605_2032930135.pdf,49
16125,2032930139,20210605,20210605_2032930139.pdf,55
16126,2032930142,20210605,20210605_2032930142.pdf,SCRIE
16127,2032930144,20210605,20210605_2032930144.pdf,SCRIE
16128,2032940030,20210605,20210605_2032940030.pdf,8
16129,2032940053,20210605,20210605_2032940053.pdf,38
16130,2032950016,20210605,20210605_2032950016.pdf,58
